_id,TrialId,Threshold,GuessedCorrectly,GuessedIndex,CorrectIndex,Timestamp,Parameters.Resolution,Parameters.IsSymmetric,Parameters.ColorCount,Parameters.Saturation,Parameters.Lightness,Parameters.MinHueDistance,Parameters.HueSpacing,Parameters.SafeMode
998b5d4f-2e50-4e51-9982-de75d77cd129,970c5ea6-5048-48e9-8e7f-0b4b5bfe8fb8,0.96,true,-1,-1,2026-08-25T15:50:38.945Z,5,true,1,70,50,45,45,0
27363c4b-3347-412e-a447-d38d8f8a6b6e,fa080131-e7a1-4924-b43a-2e30ca0b1951,0.96,true,-1,-1,2026-08-25T15:50:46.738Z,5,true,1,70,50,45,45,0
0e04abb7-c9cd-435c-abef-affd174c3850,a8e1aaa7-cb15-4219-886a-36db2a914f15,0.96,false,2,-1,2026-08-25T15:50:53.589Z,5,true,1,70,50,45,45,0
5c027665-a980-4276-98f0-aa15e9dad629,caf6b727-4d6f-44e8-afe8-358884aee372,0.92,true,-1,-1,2026-08-25T15:50:59.850Z,5,true,1,70,50,45,45,0
ba6e9099-858b-4f91-b9af-b660a09cf117,903d81ae-81ee-4a69-9ee4-6e26accd15f7,0.96,false,-1,0,2026-08-25T15:51:04.503Z,5,true,1,70,50,45,45,0
9196cd64-3702-4e4a-ad90-3add58ff9e8d,ec82bf37-6e28-4f46-a796-d43916715e5d,0.92,true,3,3,2026-08-25T15:51:10.151Z,5,true,1,70,50,45,45,0
bb7cd857-ea2f-4581-b1c2-1f38db15bbb7,5569874e-ca3c-41e2-b882-eb687afd7a34,0.96,true,-1,-1,2026-08-25T15:51:15.227Z,5,true,1,70,50,45,45,0
01a7ae16-db47-4dfa-90f6-75c70dda3138,5dc7ab07-0604-4ab7-ba43-b434dac59152,0.96,false,0,4,2026-08-25T15:51:22.080Z,5,true,1,70,50,45,45,0
40266f3c-6237-4575-a3c9-6f309c4c74a2,1ad090a3-5b81-48d6-868e-ebede463a143,0.92,false,4,-1,2026-08-25T15:51:27.699Z,5,true,1,70,50,45,45,0
246f8974-6177-4ed2-ae56-58c618c4ffae,dc660d64-5181-4acc-b5e4-6ee3173301f7,0.88,true,-1,-1,2026-08-25T15:51:34.487Z,5,true,1,70,50,45,45,0
